time,high,average,open,low
2018-04-30 02:00:00,9431.42,9414.02,9403.79,9399.93
2018-04-30 01:00:00,9416.22,9402.49,9408.83,9382.89
2018-04-30 00:00:00,9421.08,9388.92,9399.41,9348.15
2018-04-29 23:00:00,9415.53,9402.65,9398.17,9387.36
2018-04-29 22:00:00,9419.38,9381.34,9323.41,9323.26
2018-04-29 21:00:00,9341.56,9328.23,9308.68,9308.68
2018-04-29 20:00:00,9322.76,9307.67,9320,9295.06
2018-04-29 19:00:00,9355.42,9328.6,9329.28,9315.45
2018-04-29 18:00:00,9329.32,9314.38,9325.15,9302.55
2018-04-29 17:00:00,9329.7,9288.71,9310.12,9244.05
2018-04-29 16:00:00,9333.04,9313.39,9328.96,9301.04
2018-04-29 15:00:00,9346.38,9311.43,9285.92,9285.92
2018-04-29 14:00:00,9358.98,9319.05,9303.7,9279.05
2018-04-29 13:00:00,9313.96,9281.53,9251.3,9251.3
2018-04-29 12:00:00,9315.9,9258.06,9260.98,9212.02
2018-04-29 11:00:00,9268.88,9231.37,9224.53,9195.05
2018-04-29 10:00:00,9302.8,9256.16,9299,9188.46
2018-04-29 09:00:00,9330.48,9290.44,9299.37,9234.07
2018-04-29 08:00:00,9451.35,9390.26,9438.48,9287.76
2018-04-29 07:00:00,9480.57,9455.65,9464.79,9428.22
2018-04-29 06:00:00,9469.75,9444.48,9423.25,9396.99
2018-04-29 05:00:00,9476.1,9444.53,9454.24,9391.41
2018-04-29 04:00:00,9492.2,9473.91,9459.09,9449.22
2018-04-29 03:00:00,9507.27,9469.52,9507.27,9432.51
2018-04-29 02:00:00,9540.72,9492.88,9467.19,9462.48
2018-04-29 01:00:00,9488.12,9436.45,9395,9388.45
2018-04-29 00:00:00,9421.83,9391.74,9342.94,9342.94
2018-04-28 23:00:00,9370.86,9349.54,9347.41,9333.19
2018-04-28 22:00:00,9347.41,9329,9289.1,9289.1
2018-04-28 21:00:00,9347.12,9298.56,9328.04,9257.62
2018-04-28 20:00:00,9424.45,9390.58,9388.55,9328.04
2018-04-28 19:00:00,9399.82,9386.02,9393.13,9362.4
2018-04-28 18:00:00,9403.54,9367.13,9284.02,9284.02
2018-04-28 17:00:00,9340.19,9320.54,9307.05,9284.02
2018-04-28 16:00:00,9366.21,9326.79,9342.1,9267.24
2018-04-28 15:00:00,9342.1,9303.17,9311.28,9260.84
2018-04-28 14:00:00,9418.28,9361.15,9377.12,9283.29
2018-04-28 13:00:00,9398.39,9371.22,9365.62,9341.89
2018-04-28 12:00:00,9392.28,9317.38,9210.02,9210.02
2018-04-28 11:00:00,9276.11,9233.4,9270.83,9206.09
2018-04-28 10:00:00,9301.37,9271.66,9271.92,9234.74
2018-04-28 09:00:00,9288.77,9245.19,9246.48,9187.23
2018-04-28 08:00:00,9321.7,9190.2,9128.05,9089.41
2018-04-28 07:00:00,9157.64,9135.71,9157.64,9118.59
2018-04-28 06:00:00,9192.5,9171.46,9151.43,9151.43
2018-04-28 05:00:00,9170.93,9148.09,9125.33,9125.33
2018-04-28 04:00:00,9153.23,9135.52,9151.6,9114.72
2018-04-28 03:00:00,9169.26,9106.13,9056.19,9056.19
2018-04-28 02:00:00,9114.18,9092.82,9108,9056.19
2018-04-28 01:00:00,9108,9049.46,9009.81,9008.67
2018-04-28 00:00:00,9040.97,8977.83,8937.69,8893.45
2018-04-27 23:00:00,9064.64,9016.48,9043.53,8925.72
2018-04-27 22:00:00,9083.78,9053.09,8989.38,8989.38
2018-04-27 21:00:00,9043.66,9007.71,8986.28,8945.02
2018-04-27 20:00:00,9153.24,9068.46,9101.65,8979.22
2018-04-27 19:00:00,9234.01,9182.04,9229.85,9099.21
2018-04-27 18:00:00,9284.56,9254.13,9281,9227.71
2018-04-27 17:00:00,9307.24,9288.93,9278.1,9277.74
2018-04-27 16:00:00,9301.77,9278.38,9232.16,9232.16
2018-04-27 15:00:00,9263.63,9237.51,9263.63,9211.9
2018-04-27 14:00:00,9263.63,9237.43,9219.29,9209.91
2018-04-27 13:00:00,9297.74,9231.79,9283.97,9176.27
2018-04-27 12:00:00,9344.55,9323.63,9307.83,9275.93
2018-04-27 11:00:00,9364.83,9330.83,9361.77,9307.52
2018-04-27 10:00:00,9377.57,9351.77,9355.91,9322.32
2018-04-27 09:00:00,9366.74,9290.4,9252.34,9242.99
2018-04-27 08:00:00,9281.33,9255.37,9229.42,9224.38
2018-04-27 07:00:00,9238.27,9218.13,9238.27,9197.94
2018-04-27 06:00:00,9245.1,9222.36,9182.67,9182.67
